No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	4kHz	BUZZER1	BUZ-SMD_L5.0-W5.5-P4.60	4kHz	MLT-5020	华能	C94598	LCSC
2	1	100uF	C1	C1206	100uF	CL31A107MQHNNNE	SAMSUNG(三星)	C15008	LCSC
3	1	KT-0603R	LED1	LED0603-RD		KT-0603R	KENTO	C2286	LCSC
4	1	KT-0603W	LED2	LED0603-R-RD_WHITE		KT-0603W	KENTO	C2290	LCSC
5	4	2Pin_Hole	M1,M2,M3,M4	MARCEL_2PIN_HOLE					
6	1	PMW3901	P3	HEADER-MALE-2.54-1X4					
7	4	AO3400A	Q1,Q2,Q3,Q4	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		AO3400A	AOS	C20917	LCSC
8	1	AO3401A	Q5	SOT-23_L2.9-W1.3-P1.90-LS2.4-BR		AO3401A	AOS	C15127	LCSC
9	6	10kΩ	R2,R3,R4,R5,R6,R7	R0603	10kΩ	0603WAF1002T5E	UNI-ROYAL(厚声)	C25804	LCSC
10	1	330Ω	R9	R0603	330Ω	0603WAF3300T5E	UNI-ROYAL(厚声)	C23138	LCSC
11	4	100Ω	R10,R11,R12,R13	R0603	100Ω	0603WAF1000T5E	UNI-ROYAL(厚声)	C22775	LCSC
12	1	390Ω	R14	R0603	390Ω	HPCR0603F240RK9	RESI(开步睿思)		LCSC
13	1	100kΩ	R16	R0603	100kΩ	0603WAF1003T5E	UNI-ROYAL(厚声)	C25803	LCSC
14	1	MST-12D18G2 SMD Slide Switch	SW1	SW-SMD_3P-L9.1-W3.5-P2.50_MST-12D18G2		MST-12D18G2 SMD Slide Switch	SHOU HAN(首韩)	C49023765	LCSC
15	1	XIAO_ESP32S3	U1	XIAO-ESP32-S3-NO-THERM-NEW		XIAO ESP32S3	SeeedStudio	1597-113991054-ND	Digi-Key
16	4	SS14	U2,U3,U4,U5	SMA_L4.2-W2.6-LS5.0-RD_1		SS14	MDD(辰达半导体)	C2480	LCSC
17	1	CONDENSATORE ELETTROLITICO 6,3V	U6	CONDENSATORE ELETTROLITICO 6,3V		100uF 6,3V	Officine PADANE	100uF 6,3V	RICCADONNA LUCIANO
18	1	MPU-6050-Module	U8	MPU-6050-MODULE					
19	4	100nF	U9,U10,U11,U12	C0603	100nF	CC0603KRX7R9BB104	YAGEO(国巨)	C14663	LCSC
