timestamp_ms,ax,ay,az,gx,gy,gz,flow_vx,flow_vy,flow_px,flow_py,flow_raw_x,flow_raw_y,range_mm,quality
3114,0.013,0.013,-1.007,0.1,0.1,-0.0,0.0000,0.0000,0.0000,0.0000,0,0,110,121
3170,-0.005,-0.010,-1.000,0.7,-0.2,-0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,129
3221,0.002,0.001,-0.996,-0.6,0.1,-0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,126
3272,0.001,0.005,-1.003,0.2,-0.1,-0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,117
3323,-0.005,0.001,-1.002,0.8,-0.1,-0.0,0.0000,0.0000,0.0000,0.0000,0,0,110,124
3374,0.007,-0.002,-0.998,0.3,0.0,0.1,0.0000,0.0000,0.0000,0.0000,0,0,100,129
3425,-0.002,0.008,-1.001,-0.4,-0.1,0.0,0.0000,0.0000,0.0000,0.0000,0,0,100,125
3476,-0.000,0.004,-0.998,0.7,0.0,0.1,0.0000,0.0000,0.0000,0.0000,0,0,100,128
3527,-0.004,0.002,-1.000,1.0,-0.1,0.0,0.0000,0.0000,0.0000,0.0000,0,0,100,126
3578,-0.000,-0.001,-0.996,1.2,-0.2,0.1,0.0000,0.0000,0.0000,0.0000,0,0,100,116
3629,-0.001,0.003,-0.995,2.0,-0.2,0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,131
3680,-0.001,0.018,-0.992,3.8,-0.1,0.2,0.0000,0.0000,0.0000,0.0000,0,0,110,125
3731,-0.006,0.048,-1.006,-5.7,0.2,12.8,0.0000,0.0000,0.0000,0.0000,0,0,110,119
3782,-0.003,-0.013,-1.024,-0.0,0.8,17.9,0.0000,0.0000,0.0000,0.0000,0,0,110,122
3833,0.006,0.022,-1.005,-0.4,0.5,11.9,0.0000,-0.1936,-0.0002,-0.0002,1,1,110,128
3884,-0.015,0.021,-0.987,0.9,-1.3,-3.5,0.0000,0.1760,-0.0002,-0.0000,0,-1,100,120
3935,0.004,0.038,-0.986,0.3,0.1,-4.5,0.0000,0.0000,-0.0002,-0.0000,0,0,100,127
3986,-0.011,0.040,-1.006,0.4,-0.2,-4.0,-0.1936,0.0000,-0.0004,-0.0000,1,0,110,120
4037,0.000,0.009,-1.028,2.5,-0.8,-5.3,0.0000,-0.1936,-0.0004,-0.0010,0,5,110,108
4088,0.001,0.020,-0.993,-0.1,-0.4,-3.0,-0.1936,0.0000,-0.0008,-0.0012,2,1,110,111
4139,0.002,0.008,-1.002,1.8,-0.8,-2.8,0.0000,0.0000,-0.0006,-0.0012,-1,0,100,125
4190,-0.007,-0.007,-0.993,0.2,-0.8,-0.6,0.0000,-0.3520,-0.0006,-0.0019,0,4,100,133
4241,0.003,-0.009,-1.001,-0.6,0.1,-1.3,0.0000,-0.1760,-0.0004,-0.0038,-1,11,100,121
4292,-0.013,0.013,-0.997,-0.8,0.2,-0.3,-0.1936,0.3872,-0.0006,-0.0032,1,-3,110,128
4343,0.009,-0.024,-0.994,-1.4,0.7,-2.5,0.3872,0.3872,0.0002,-0.0013,-4,-10,110,125
4394,0.004,-0.038,-1.005,0.1,0.0,-0.2,0.0000,0.0000,-0.0000,-0.0013,1,0,110,120
4445,0.022,-0.013,-1.009,-3.1,0.4,0.4,0.0000,0.0000,-0.0008,0.0002,4,-8,100,132
4496,-0.003,0.005,-0.972,-1.0,-0.2,0.3,0.0000,-0.1760,0.0005,0.0006,-7,-2,100,122
4548,0.002,-0.037,-1.005,-1.1,0.3,-0.3,0.1936,0.0000,0.0007,0.0006,-1,0,110,119
4600,0.008,-0.024,-1.015,0.9,0.3,1.0,-0.5808,0.0000,-0.0005,0.0006,6,0,110,135
4652,0.007,0.008,-0.993,-1.2,0.5,1.0,0.0000,0.0000,-0.0003,0.0012,-1,-3,110,122
4704,0.001,-0.001,-0.990,0.4,-0.1,2.9,0.1936,0.0000,0.0003,0.0014,-3,-1,110,126
4756,-0.026,-0.005,-1.007,1.1,-0.3,0.2,0.0000,0.0000,-0.0001,0.0014,2,0,110,119
4808,-0.008,0.044,-0.973,-0.5,1.4,4.4,0.0000,0.3872,-0.0001,0.0025,0,-6,110,119
4860,-0.017,0.019,-0.968,-0.3,0.1,4.2,0.0000,0.0000,0.0001,0.0031,-1,-3,100,119
4912,0.012,-0.051,-1.018,0.4,0.1,5.8,0.0000,0.3520,0.0001,0.0036,0,-3,100,126
4964,-0.021,-0.061,-0.996,-0.6,-0.0,6.6,0.0000,0.0000,0.0002,0.0036,-1,0,100,129
5016,-0.011,-0.047,-1.014,-0.7,0.0,2.9,0.0000,-0.1936,0.0001,0.0034,1,1,110,129
5068,-0.008,-0.021,-0.995,1.0,-0.3,0.5,0.0000,0.5808,-0.0007,0.0048,4,-7,110,121
5120,-0.005,-0.004,-1.003,0.3,-0.0,-0.2,0.0000,0.0000,-0.0007,0.0048,0,0,110,142
5172,-0.004,-0.022,-1.000,-0.0,0.5,4.9,0.0000,0.1936,-0.0009,0.0050,1,-1,110,129
5224,-0.000,-0.011,-1.001,-1.3,1.0,0.7,-0.1936,0.0000,-0.0011,0.0050,1,0,110,120
